Osadchuk 3	AK-34	300002	02.02.2002	305845 359833 389059 312385 309599 
Yatsiv 3	PZ-34	300003	10.09.2002	305845 359833 389059 312385 309599 
Kostiv 3	PZ-31	300004	24.04.2001	305845 359833 389059 312385 309599 
Cherpak 3	PZ-31	300005	24.04.2001	305845 359833 389059 312385 309599 
Popaduk 3	PZ-31	300006	24.04.2001	305845 359833 389059 312385 309599 
Vibla 3	PZ-31	300007	24.04.2001	305845 359833 389059 312385 309599 
Chaikovska 3	PZ-31	300008	24.04.2001	305845 359833 389059 312385 309599 
Rychkova 3	PZ-31	300009	24.04.2001	305845 359833 389059 312385 309599 
Myzyk 3	PZ-31	300010	24.04.2001	305845 359833 389059 312385 309599 
Kwin 3	PZ-31	300011	24.04.2001	305845 359833 389059 312385 309599 
Uzumaki 3	PZ-31	300012	24.04.2001	305845 359833 389059 312385 309599 
Uchiha 3	PZ-31	300013	24.04.2001	305845 359833 389059 312385 309599 
Nara 3	PZ-31	300014	24.04.2001	305845 359833 389059 312385 309599 
Basko 3	PZ-32	300011	27.11.2001	475295 987548 345454 273934 460046 
Filan 3	PZ-32	300011	12.12.2002	475295 987548 345454 273934 460046 
Bisadchuk 3	AK-32	300012	02.02.2002	475295 987548 345454 273934 460046 
Batsiv 3	PZ-32	300013	10.09.2002	475295 987548 345454 273934 460046 
Fostiv 3	PZ-32	300014	24.04.2001	475295 987548 345454 273934 460046 
Rherpak 3	PZ-32	300015	24.04.2001	475295 987548 345454 273934 460046 
Gopaduk 3	PZ-32	300016	24.04.2001	475295 987548 345454 273934 460046 
Jibla 3	PZ-33	300017	24.04.2001	475295 987548 345454 273934 460046 
Bhaikovska 3	PZ-33	300018	24.04.2001	475295 987548 345454 273934 460046 
Yychkova 3	PZ-33	300019	24.04.2001	475295 987548 345454 273934 460046 
Ezyk 3	PZ-33	300110	24.04.2001	475295 987548 345454 273934 460046 
Twin 3	PZ-33	300111	24.04.2001	475295 987548 345454 273934 460046 
Hazumaki 3	PZ-33	300112	24.04.2001	475295 987548 345454 273934 460046 
Gachiha 3	PZ-33	300113	24.04.2001	475295 987548 345454 273934 460046 
Idara 3	PZ-33	300114	24.04.2001	475295 987548 345454 273934 460046 
Incchak 3	PZ-34	300104	24.05.2001	460046 460030 482944 435422 875135 
Incklynez 3	PZ-34	300103	14.07.2001	460046 460030 482944 435422 875135 
Pincorskia 3	PZ-34	300102	02.04.2001	460046 460030 482944 435422 875135 
Pinbianskyi 3	PZ-34	300101	06.04.2001	460046 460030 482944 435422 875135 
Bincuk 3	PZ-34	300100	15.04.2001	460046 460030 482944 435422 875135 
Hinatenko 3	PZ-34	300105	16.04.2001	460046 460030 482944 435422 875135 
Turchinco 3	PZ-34	300106	17.04.2001	460046 460030 482944 435422 875135 
Rrolonko 3	PZ-35	300107	20.03.2001	460046 460030 482944 435422 875135 
Ghurincenko 3	PZ-35	300108	25.02.2001	460046 460030 482944 435422 875135 
Hycillyshak 3	PZ-35	300109	21.01.2001	460046 460030 482944 435422 875135 
Kazcov 3	PZ-35	300201	26.02.2001	460046 460030 482944 435422 875135 
Katlokovych 3	PZ-35	300202	26.08.2001	460046 460030 482944 435422 875135 
Alishko 3	PZ-35	300203	27.07.2001	460046 460030 482944 435422 875135 
Kurshtenko 3	PZ-34	300204	26.08.2001	460046 460030 482944 435422 875135 
Kuzonko 3	PZ-34	300205	27.11.2001	460046 460030 482944 435422 875135 
Kotetsu 4	PZ-41	400000	12.12.2000	421472 412833 401233 482944 475295 
Yakimichi 4	PZ-41	400001	11.12.2000	421472 412833 401233 482944 475295 
Sailmoon 4	PZ-41	400002	10.10.2000	421472 412833 401233 482944 475295 
Anderson 4	PZ-41	400003	09.02.2000	421472 412833 401233 482944 475295 
Jackson 4	PZ-41	400004	08.10.2000	421472 412833 401233 482944 475295 
Gilson 4	PZ-41	400005	07.05.2000	421472 412833 401233 482944 475295 
Makson 4	PZ-41	400006	04.12.2000	042147 412833 401233 482944 475295 
Subari 4	PZ-42	400007	06.10.2000	421472 412833 401233 482944 475295 
Malfoy 4	PZ-42	400008	05.10.2000	421472 412833 401233 482944 475295 
Potter 4	PZ-42	400009	14.12.2000	421472 412833 401233 482944 475295 
Greinjer 4	PZ-42	400010	13.12.2000	421472 412833 401233 482944 475295 
Vizli 4	PZ-42	400011	16.12.2000	421472 412833 401233 482944 475295 
Yurchenko 4	PZ-42	400012	21.12.2000	421472 412833 401233 482944 475295 
Rozumkov 4	PZ-42	400013	12.12.2000	421472 412833 401233 482944 475295 
Zelinskii 4	PZ-42	400014	12.12.2000	421472 412833 401233 482944 475295 
Gerasymchuk 4	PZ-43	400015	01.01.2000	239423 549755 204014 754512 897455 
Bogachenko 4	PZ-43	400016	02.01.2000	239423 549755 204014 754512 897455 
Bodnarenko 4	PZ-43	400017	03.01.2000	239423 549755 204014 754512 897455 
Kardash 4	PZ-43	400018	04.01.2000	239423 549755 204014 754512 897455 
Ignatov 4	PZ-43	400019	05.01.2000	239423 549755 204014 754512 897455 
Zabrytska 4	PZ-43	400020	06.01.2000	239423 549755 204014 754512 897455 
Kovalevskaya 4	PZ-43	400021	07.01.2000	239423 549755 204014 754512 897455 
Serman 4	PZ-44	400022	08.01.2000	239423 549755 204014 754512 897455 
Ribun 4	PZ-44	400023	09.01.2000	239423 549755 204014 754512 897455 
Savkiv 4	PZ-44	400024	10.02.2000	239423 549755 204014 754512 897455 
Potashnik 4	PZ-44	400025	11.04.2000	239423 549755 204014 754512 897455 
Seven 4	PZ-44	400026	12.09.2000	239423 549755 204014 754512 897455 
Fedorko 4	PZ-44	400027	13.05.2000	239423 549755 204014 754512 897455 
Kuchera 4	PZ-44	400028	14.10.2000	239423 549755 204014 754512 897455 
Levitsky 4	PZ-44	400029	15.11.2000	239423 549755 204014 754512 897455 
Semenyuk 4	PZ-44	400030	16.01.2000	239423 549755 204014 754512 897455 
Greinjer 4	PZ-45	400031	13.12.2000	460046 346000 200100 100100 999999 
Vizli 4	PZ-45	400032	13.12.2000	460046 346000 200100 100100 999999 
Yurchenko 4	PZ-45	400033	14.12.2000	460046 346000 200100 100100 999999 
Rozumkov 4	PZ-45	400034	29.02.2000	460046 346000 200100 100100 999999 
Zelinskii 4	PZ-45	400035	31.03.2000	460046 346000 200100 100100 999999 
Gerasymchuk 4	PZ-45	400036	30.05.2000	460046 346000 200100 100100 999999 
Bogachenko 4	PZ-45	400037	25.05.2000	460046 346000 200100 100100 999999 
Bodnarenko 4	PZ-46	400038	21.06.2000	460046 346000 200100 100100 999999 
Kardash 4	PZ-46	400039	12.06.2000	460046 346000 200100 100100 999999 
Ignatov 4	PZ-46	400040	13.07.2000	460046 346000 200100 100100 999999 
Zabrytska 4	PZ-46	400041	13.08.2000	460046 346000 200100 100100 999999 
Kovalevskaya 4	PZ-46	400042	13.10.2000	460046 346000 200100 100100 999999 
Serman 4	PZ-46	400043	16.12.2000	460046 346000 200100 100100 999999 
Ribun 4	PZ-46	400044	15.12.2000	460046 346000 200100 100100 999999 
Poroh 3	ES-35	137972	12.01.2001	305845 987548 389059 435422 309599 
Kozak 2	MP-23	417517	kozak123	401233 239423 282045 211111 247289 
